Име,Област (етнографска/фолклорна),Регион,Размер,С удължен дял,Темпо,Тактове,Трудност,Къде го научих,Музика,Заснето,Урок,Хореограф
Абдал/Абдай,,,,,,,,,,,https://www.youtube.com/watch?v=IAPN_JuY2l0&t=22s&ab_channel=%D0%A1%D1%82%D0%B0%D0%BD%D0%B8%D1%81%D0%BB%D0%B0%D0%B2%D0%B0%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B0,
Старо Помашко,,,,,,,,,,https://www.youtube.com/watch?v=DPcWpM6HAGw&ab_channel=AviellaAngel,,
Велешко,,,,,,,,,,,,
Раховата (оряхово?),,,,,,,,,,,,
Бугарка,,,,,,,,,,,,
Фурла,,,,,,,,,,,,
Челе Уне/Челе буне,,,,,,,,,,https://www.youtube.com/watch?v=cNXVjmAzkcQ&ab_channel=%D0%97%D0%BE%D1%80%D0%BD%D0%B8%D1%86%D0%B0%D0%92%D0%B5%D0%BD%D0%BA%D0%BE%D0%B2%D0%B0,,
Бръсни Цървул,,,,,,,,,,,,
Грънчарско,,,,,,,,,,,,
Гъмзовяна,,,,,,,,Цоко,,https://www.youtube.com/watch?v=iXcCd9SucRk&ab_channel=NikolayDimov,https://www.youtube.com/watch?v=L9FBD15Jux4&ab_channel=stogerov,
Ситно влашко на леса за сцена (на Иван),,,,,,,,,,,,
Дунавско пампорея,,,,,,,,,,,,
Молдовско влашко,,,,,,,,,,,,
Койнали,,,,,,,,,,,,
Алдомировско,,,,,,,,,,,,
Витаново,,,,,,,,,,,,
Бистришка копаница,,,,,,,,,,,,
Драм Ширто,,,,,,,,,,,,
Чичина,,,,,,,,,,,,
Шам Шамалига,,,,,,,,,,,,
Ратавка,,,,,,,,,,,,
Катерино моме,,,,,,,,,,,,
Койнали,,,,,,,,,,,,
Пуйченца,,,,,,,,,,,,
Арнаут,,,,,,,,,,,,
Крепи се,,,,,,,,,,,,
Бучимиш,,,,,,,,,,,,
Йовино (вариант от интернет),,,,,,,,,,,,
Брезнешко,,,,,,,,,,,,
Алдомировско,,,,,,,,,,,,
Карамфилчето,,,,,,,,,,,,
Бреговско,,,,,,,,,,,,
Костанде,,,,,,,,,,,,
Любено,,,,,,,,,,,,
Ляса,,,,,,,,,,,,
Мелник Аваси,,,,,,,,,,,,
Велешко,,,,,,,,,,,,
Петково,,,,,,,,,,,,
Мелнишката мома,,,,,,,,,,,,
Елехченско,,,,,,,,,,,,
Руменка,,,,,,,,,,,,
Дьортаяк,,,,,,,,,,,,
Талима,,,,,,,,,,,,
Аджибилик,,,,,,,,,,,,
Елбасан,,,,,,,,,,,,
Ляски,,,,,,,,,,,,
Русе Косе,,,,,,,,,,,,
Ситна лиса,,,,,,,,,,,,
София Аваси,,,,,,,,,,,,
Струмско,,,,,,,,,,,,
Митрино,Родопска,,,,,,,,,https://www.youtube.com/watch?v=3Tr8nbXDamc&ab_channel=Did1e,https://www.youtube.com/watch?v=0Qly370kzQA&ab_channel=EddyTijssen,
Севдино,,,,,,,,,,,,
Зидарско,,,,,,,,,,,,
Талашманлийско,,,,,,,,,,,,
Ангелчовата,,,,,,,,,,,,
Боненото,,,,,,,,,,,,
Бранковска ръченица,,,,,,,,,,https://www.youtube.com/watch?v=Ko_aFZqetuI&ab_channel=%D0%97%D0%BE%D1%80%D0%BD%D0%B8%D1%86%D0%B0%D0%92%D0%B5%D0%BD%D0%BA%D0%BE%D0%B2%D0%B0,,
Видинско,,,,,,,,,,,,
Дешкино,,,,,,,,,,,,
Димитро Лио,,,,,,,,,,,,
Орешака,,,,,,,,,,,,
Свечером,,,,,,,,,,,,
Скандалската,,,,,,,,,,,,
Трей пазеште,,,,,,,,,,,,
Чуш мерджан,,,,,,,,,,,,
Шумадия,,,,,,,,,,,,Автентично
Еркечко (Еркечка ръченица?),,,,,,,,,,,,
Странджанско,,,,,,,,,,,,
Ярешката,,,,,,,,,,,,
Калдамачката,,,,,,,,,,,,
Средногорска копаница,,,,,,,,,,,,
Филиповско,,,,,,,,,,,,
Честата,,,,,,,,,,,,
Чирпанско,,,,,,,,,,,,
Гюл девойче,,,,,,,,,,,,
Добридолско,,,,,,,,,,,,
Трънската,,,,,,,,,,,,
"Калино, Радо",,,,,,,,,,,,
Обелско,,,,,,,,,,,,
Трънско,,,,,,,,,,,,
Ербап,,,,,,,,,,,,
Кабадалии,,,,,,,,,,,,
Седи Донка,,,,,,,,,,,,
Повлекана,,,,,,,,,,,,
Изхвърли Кондак,,,,,,,,,,,,
Боснек,,,,,,,,,,,,
Mелнишка мома,,,,,,,,,,,,
Каракачанско вариант 2,,,,,,,,,,,,
Кака Николинка,,,,,,,,,,,,
Диканско,,,,,,,,,,,,
Чукуровско,,,,,,,,,,,,
Търговското,,,,,,,,,,,,
Денинка,,,,,,,,,,,,
Кремиковско,,,,,,,,,,,,
Старозагорска ръченица,,,,,,,,,,,,
Стружко,,,,,,,,,,,,
Добруджански ръченик,,,,,,,,,,,,
Стъпил Добри,,,,,,,,,,,,
Криво Ихтиманско,,,,,,,,,,,,
Кривата,,,,,,,,,,,,
Гурбетчийско,,,,,,,,,,,,
Бела Рада,,,,,,,,,,,,
Старската,,,,,,,,,,,,
Хайдушко,,,,,,,,,,,,
Право ямболско,,,,,,,,,,,,
Старо Ямболско,,,,,,,,,,,,
Димитро Льо (Ямболско),,,,,,,,,,,,
Болна съм болна,,,,,,,,,,,,
Неда,,,,,,,,,,,,
Чанакчийско,,,,,,,,,,,,
Зетьово,,,,,,,,,,,,
Ляво (на дунавско),,,,,,,,,,,,
Румънско,,,,,,,,,,,,
Свинската,,,,,,,,,,,,
Полско,,,,,,,,,,,,
Влашко,,,,,,,,,,,,
Калгамашката,,,,,,,,,,,,
Kупонджийско,,,,,,,,,,,,
Серез,,,,,,,,,,,,
Михалска копаница,,,,,,,,,,,,
Назлънкино/Огнено,,,2/4,,,,,,,https://www.youtube.com/watch?v=vvd1CRSuTkE&ab_channel=EddyTijssen,,
Излитачка,,,,,,,,,,,,
Алунел,,,,,,,,,,,,
Осем пъти,,,,,,,,,,,,
Гергебунарско,,,,,,,,,,,,
Разложко,,,,,,,,,,,https://www.youtube.com/watch?v=IAPN_JuY2l0&t=22s&ab_channel=%D0%A1%D1%82%D0%B0%D0%BD%D0%B8%D1%81%D0%BB%D0%B0%D0%B2%D0%B0%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B0,
Капатовско,,,,,,,,,,,,
Ой Марийо,,,,,,,,,,,,
Загърско,,,,,,,,,,,,
Влашка циганка,,,,,,,,,,,,
Мегданско,,,,,,,,,,,,
Ильовата,,,,,,,,,,,,
Петричко Бабечко,,,,,,,,,,,,
Лудото,,,,,,,,,,,,
Каручката,,,,,,,,,,,,
Барамово,,,,,,,,,,,,
Барендемово?,,,,,,,,,,,,
Балабаново,,,,,,,,,,,,
Капанско,,,,,,,,,,,,
Дивотинско/Дивотино,,,,,,,,,,,,
Лисичката,,,,,,,,,,,,
Великденска ръченица,,,,,,,,,,,,
Сонино,,,,,,,,,,,,
Радомирско,,,,,,,,,,,,
Доспатско,,,,,,,,,,,,
Връщаната/Връщано,,,,,,,,,,,,
